Title,Author,First Published Year,Subjects,Cover Image URL
The Mirror Crack'd from Side to Side,Agatha Christie,1960,Fiction,http://covers.openlibrary.org/b/id/10561150-L.jpg
The secret of Chimneys,Agatha Christie,1925,Fiction,http://covers.openlibrary.org/b/id/11171354-L.jpg
At Bertram's Hotel,Agatha Christie,1965,Fiction,http://covers.openlibrary.org/b/id/6379981-L.jpg
The Man in the Brown Suit,Agatha Christie,1924,Fiction,http://covers.openlibrary.org/b/id/11153508-L.jpg
The Murder at the Vicarage,Agatha Christie,1930,Women detectives,http://covers.openlibrary.org/b/id/6542176-L.jpg
Murder on the Orient Express,Agatha Christie,1933,Agatha Christie,http://covers.openlibrary.org/b/id/11100465-L.jpg
4.50 from Paddington,Agatha Christie,1957,Fiction,http://covers.openlibrary.org/b/id/13151352-L.jpg
The A.B.C. Murders,Agatha Christie,1936,Fiction,http://covers.openlibrary.org/b/id/11493384-L.jpg
The Mysterious Affair at Styles,Agatha Christie,1920,Fiction,http://covers.openlibrary.org/b/id/13699667-L.jpg
Evil Under the Sun,Agatha Christie,1941,Hercule Poirot (Fictitious character),http://covers.openlibrary.org/b/id/13671433-L.jpg
And Then There Were None,Agatha Christie,1939,Roman policier,http://covers.openlibrary.org/b/id/11172296-L.jpg
The Murder of Roger Ackroyd,Agatha Christie,1926,detective fiction,http://covers.openlibrary.org/b/id/13151356-L.jpg
The Mystery of the Blue Train,Agatha Christie,1928,Crimes against,http://covers.openlibrary.org/b/id/10247867-L.jpg
Elephants Can Remember,Agatha Christie,1969,Fiction,http://covers.openlibrary.org/b/id/11165070-L.jpg
The Big Four,Agatha Christie,1927,Fiction,http://covers.openlibrary.org/b/id/6929511-L.jpg
Curtain,Agatha Christie,1975,Fiction,http://covers.openlibrary.org/b/id/12387503-L.jpg
Crooked House,Agatha Christie,1949,Mystery,http://covers.openlibrary.org/b/id/12177181-L.jpg
Death in the Clouds,Agatha Christie,1935,Detective and mystery stories,http://covers.openlibrary.org/b/id/11433305-L.jpg
Sleeping Murder,Agatha Christie,1940,Fiction,http://covers.openlibrary.org/b/id/10247294-L.jpg
The Hollow,Agatha Christie,1946,Fiction,http://covers.openlibrary.org/b/id/13679064-L.jpg
Nemesis,Agatha Christie,1970,Fiction,http://covers.openlibrary.org/b/id/10249139-L.jpg
The moving finger,Agatha Christie,1942,Fiction,http://covers.openlibrary.org/b/id/13672855-L.jpg
Sparkling Cyanide,Agatha Christie,1945,Fiction in English,http://covers.openlibrary.org/b/id/10247283-L.jpg
A Pocket Full of Rye,Agatha Christie,1953,Ficción,http://covers.openlibrary.org/b/id/11165083-L.jpg
Hercule Poirot's Christmas,Agatha Christie,1939,Hercule Poirot (Fictitious character),http://covers.openlibrary.org/b/id/12855074-L.jpg
Dead Man's Folly,Agatha Christie,1956,Fiction,http://covers.openlibrary.org/b/id/6985969-L.jpg
Five Little Pigs,Agatha Christie,1942,Hercule Poirot (Fictitious character),http://covers.openlibrary.org/b/id/10247338-L.jpg
Murder in Mesopotamia,Agatha Christie,1936,Fiction,http://covers.openlibrary.org/b/id/12181027-L.jpg
Cards on the Table,Agatha Christie,1936,Fiction,http://covers.openlibrary.org/b/id/6469172-L.jpg
"One, Two, Buckle My Shoe",Agatha Christie,1940,Fiction,http://covers.openlibrary.org/b/id/6908110-L.jpg
Murder in Three Acts,Agatha Christie,1934,Fiction,http://covers.openlibrary.org/b/id/6874620-L.jpg
Appointment with Death,Agatha Christie,1938,Belgians,http://covers.openlibrary.org/b/id/12996530-L.jpg
A Caribbean Mystery,Agatha Christie,1964,Agatha Christie,http://covers.openlibrary.org/b/id/6706525-L.jpg
They Came to Baghdad,Agatha Christie,1951,English Spy stories,http://covers.openlibrary.org/b/id/12846782-L.jpg
Cat Among the Pigeons,Agatha Christie,1959,Fiction,http://covers.openlibrary.org/b/id/12852588-L.jpg
Hallowe'en Party,Agatha Christie,1969,Fiction,http://covers.openlibrary.org/b/id/11160095-L.jpg
Murder is Easy,Agatha Christie,1939,Police,http://covers.openlibrary.org/b/id/11171351-L.jpg
Third Girl,Agatha Christie,1966,Fiction,http://covers.openlibrary.org/b/id/13665754-L.jpg
Mrs. McGinty's Dead,Agatha Christie,1951,Fiction,http://covers.openlibrary.org/b/id/10249324-L.jpg
The Clocks,Agatha Christie,1963,Fiction,http://covers.openlibrary.org/b/id/12824575-L.jpg
Ordeal by Innocence,Agatha Christie,1958,Detectives,http://covers.openlibrary.org/b/id/10247341-L.jpg
The Sittaford Mystery,Agatha Christie,1931,English Detective and mystery stories,http://covers.openlibrary.org/b/id/13151831-L.jpg
The Thirteen Problems,Agatha Christie,1932,Jane Marple (Fictitious character),http://covers.openlibrary.org/b/id/11163587-L.jpg
Towards Zero,Agatha Christie,1944,Fiction,http://covers.openlibrary.org/b/id/13666304-L.jpg
